timestamp,value1,value2,value3,value4,value5,value6
6.0,4.9999999992230925e-6,2.2309274165807064e-16,7.769072583419297e-16,0.0,0.0,0.0
6.1,4.999999999217583e-6,2.1758422958430864e-16,7.824157704156917e-16,0.0,0.0,0.0
6.2,4.999999999212213e-6,2.1221316855019953e-16,7.877868314498008e-16,0.0,0.0,0.0
6.3,4.999999999206976e-6,2.0697607000563223e-16,7.930239299943681e-16,0.0,0.0,0.0
6.4,4.999999999201869e-6,2.0186944540049563e-16,7.981305545995046e-16,0.0,0.0,0.0
6.5,4.9999999991968895e-6,1.9688980618467878e-16,8.031101938153216e-16,0.0,0.0,0.0
6.6,4.9999999991920335e-6,1.9203366380807053e-16,8.079663361919298e-16,0.0,0.0,0.0
6.7,4.999999999187297e-6,1.8729752972055976e-16,8.127024702794406e-16,0.0,0.0,0.0
6.8,4.999999999182677e-6,1.8267791537203555e-16,8.173220846279649e-16,0.0,0.0,0.0
6.9,4.999999999178171e-6,1.7817133221238666e-16,8.218286677876137e-16,0.0,0.0,0.0
7.0,4.999999999173774e-6,1.737742916915022e-16,8.262257083084981e-16,0.0,0.0,0.0
7.1,4.999999999169484e-6,1.6948340656264088e-16,8.305165934373594e-16,0.0,0.0,0.0
7.2,4.999999999165296e-6,1.6529621211878497e-16,8.347037878812153e-16,0.0,0.0,0.0
7.3,4.99999999916121e-6,1.6121070964997273e-16,8.387892903500275e-16,0.0,0.0,0.0
7.4,4.999999999157225e-6,1.5722490187641433e-16,8.42775098123586e-16,0.0,0.0,0.0
7.5,4.999999999153337e-6,1.5333679151831992e-16,8.466632084816805e-16,0.0,0.0,0.0
7.6,4.999999999149544e-6,1.495443812958996e-16,8.504556187041007e-16,0.0,0.0,0.0
7.7,4.999999999145845e-6,1.4584567392936353e-16,8.541543260706369e-16,0.0,0.0,0.0
7.8,4.999999999142238e-6,1.4223867213892193e-16,8.577613278610785e-16,0.0,0.0,0.0
7.9,4.99999999913872e-6,1.3872137864478483e-16,8.612786213552154e-16,0.0,0.0,0.0
8.0,4.999999999135291e-6,1.352917961671624e-16,8.647082038328379e-16,0.0,0.0,0.0
8.1,4.9999999991319475e-6,1.319479274262649e-16,8.680520725737355e-16,0.0,0.0,0.0
8.2,4.999999999128687e-6,1.2868777514230233e-16,8.71312224857698e-16,0.0,0.0,0.0
8.3,4.999999999125509e-6,1.2550934203548486e-16,8.744906579645155e-16,0.0,0.0,0.0
8.4,4.99999999912241e-6,1.2241063082602272e-16,8.775893691739777e-16,0.0,0.0,0.0
8.5,4.9999999991193885e-6,1.1938964423412603e-16,8.806103557658743e-16,0.0,0.0,0.0
8.6,4.999999999116444e-6,1.1644438498000487e-16,8.835556150199955e-16,0.0,0.0,0.0
8.7,4.999999999113572e-6,1.1357285578386943e-16,8.86427144216131e-16,0.0,0.0,0.0
8.8,4.9999999991107725e-6,1.107730593659298e-16,8.892269406340706e-16,0.0,0.0,0.0
8.9,4.9999999991080425e-6,1.0804299844639622e-16,8.919570015536043e-16,0.0,0.0,0.0
9.0,4.9999999991053795e-6,1.0538067574547878e-16,8.946193242545216e-16,0.0,0.0,0.0
9.1,4.999999999102783e-6,1.0278409398338765e-16,8.972159060166129e-16,0.0,0.0,0.0
9.2,4.999999999100251e-6,1.0025125588033296e-16,8.997487441196674e-16,0.0,0.0,0.0
9.3,4.999999999097779e-6,9.77801641565248e-17,9.022198358434756e-16,0.0,0.0,0.0
