t,x,xtau
300.0,0.5259096942072771,1.2583416512288361
300.1,0.49961495287444413,1.2527009217606184
300.2,0.4778436540189188,1.2321350165367895
300.3,0.46289444183911344,1.1981631425280426
300.4,0.45758211261967296,1.153868889097306
300.5,0.46522618665146753,1.1027622856721717
300.6,0.48898928728059976,1.0481231134400981
300.7,0.5302988801057297,0.9927184656062668
300.8,0.5871260830866606,0.9387154748576267
300.9,0.6539190950079127,0.8876937276405787
301.0,0.7237448084631235,0.8407030139775933
301.1,0.7907920272630906,0.7983145572140498
301.2,0.8514794516124444,0.7606294432700462
301.3,0.9042223608868153,0.7272456607209575
301.4,0.9486995401690372,0.6972370123125355
301.5,0.9851750216812821,0.6692433044720195
301.6,1.0140503597586636,0.6417621253584811
301.7,1.035659889683515,0.6136208307776204
301.8,1.0502706165444669,0.5844314226217147
301.9,1.058208445893733,0.5547570079999539
302.0,1.0600026639058442,0.5259096942072771
302.1,1.0564697216140335,0.49961495287444413
302.2,1.048735208756421,0.4778436540189188
302.3,1.0382444570772906,0.46289444183911344
302.4,1.0268028412829477,0.45758211261967296
302.5,1.0166366687741606,0.46522618665146753
302.6,1.0103886214719648,0.48898928728059976
302.7,1.0108815093342878,0.5302988801057297
302.8,1.0205031047137463,0.5871260830866606
302.9,1.0402666026358938,0.6539190950079127
303.0,1.0688161246626195,0.7237448084631235
303.1,1.101818726318383,0.7907920272630906
303.2,1.1325812386835648,0.8514794516124444
303.3,1.1544216265023208,0.9042223608868153
303.4,1.1633809583698598,0.9486995401690372
303.5,1.1590982542213872,0.9851750216812821
303.6,1.1437707274908377,1.0140503597586636
303.7,1.1206709143419882,1.035659889683515
303.8,1.0931534836314647,1.0502706165444669
303.9,1.0642064691161304,1.058208445893733
304.0,1.0363118487413683,1.0600026639058442
304.1,1.011426275740224,1.0564697216140335
304.2,0.9909791451411163,1.048735208756421
304.3,0.9758368142138709,1.0382444570772906
304.4,0.966215740851277,1.0268028412829477
304.5,0.9615623707172642,1.0166366687741606
304.6,0.9604513750173307,1.0103886214719648
304.7,0.9605686223474724,1.0108815093342878
304.8,0.9588429460520831,1.0205031047137463
304.9,0.9518355084977633,1.0402666026358938
305.0,0.9365922936261496,1.0688161246626195
305.1,0.9119328864645102,1.101818726318383
305.2,0.8793012958994043,1.1325812386835648
305.3,0.8421709295834664,1.1544216265023208
305.4,0.804557612622585,1.1633809583698598
305.5,0.7699937856981457,1.1590982542213872
305.6,0.7412922201905844,1.1437707274908377
305.7,0.7206319377376358,1.1206709143419882
305.8,0.7095708675956439,1.0931534836314647
305.9,0.7088801876579616,1.0642064691161304
306.0,0.7183155277022929,1.0363118487413683
306.1,0.7365458654081465,1.011426275740224
306.2,0.7613844071952721,0.9909791451411163
306.3,0.790250885088239,0.9758368142138709
306.4,0.8206521438075042,0.966215740851277
306.5,0.8505261581644532,0.9615623707172642
306.6,0.8784504816283709,0.9604513750173307
306.7,0.9038026341457837,0.9605686223474724
306.8,0.9269192735292314,0.9588429460520831
306.9,0.949175887802111,0.9518355084977633
307.0,0.9727599152180205,0.9365922936261496
307.1,0.9998476028268041,0.9119328864645102
307.2,1.0312672620580403,0.8793012958994043
307.3,1.065633352088144,0.8421709295834664
307.4,1.1000026102236284,0.804557612622585
307.5,1.1315077336068686,0.7699937856981457
307.6,1.158518995247335,0.7412922201905844
307.7,1.1808329195769232,0.7206319377376358
307.8,1.1992999303662046,0.7095708675956439
